date,new_cases_rolling_average,new_deaths_rolling_average
2021-02-18,7116.142857142857,194.57142857142858
2021-02-19,7116.142857142857,194.57142857142858
2021-02-20,7116.142857142857,194.57142857142858
2021-02-21,7116.142857142857,194.57142857142858
2021-02-22,9746.57142857143,228.28571428571428
2021-02-23,9746.57142857143,228.28571428571428
2021-02-24,9746.57142857143,228.28571428571428
2021-02-25,9746.57142857143,228.28571428571428
2021-02-26,9746.57142857143,228.28571428571428
2021-02-27,9746.57142857143,228.28571428571428
2021-02-28,9746.57142857143,228.28571428571428
2021-03-01,12561.57142857143,210.28571428571428
2021-03-02,12561.57142857143,210.28571428571428
2021-03-03,12561.57142857143,210.28571428571428
2021-03-04,12561.57142857143,210.28571428571428
2021-03-05,12561.57142857143,210.28571428571428
2021-03-06,12561.57142857143,210.28571428571428
2021-03-07,12561.57142857143,210.28571428571428
2021-03-08,15930.285714285714,270.14285714285717
2021-03-09,15930.285714285714,270.14285714285717
2021-03-10,15930.285714285714,270.14285714285717
2021-03-11,15930.285714285714,270.14285714285717
2021-03-12,15930.285714285714,270.14285714285717
2021-03-13,15930.285714285714,270.14285714285717
2021-03-14,15930.285714285714,270.14285714285717
2021-03-15,21696.285714285714,302.42857142857144
2021-03-16,21696.285714285714,302.42857142857144
2021-03-17,21696.285714285714,302.42857142857144
2021-03-18,21696.285714285714,302.42857142857144
2021-03-19,21696.285714285714,302.42857142857144
2021-03-20,21696.285714285714,302.42857142857144
2021-03-21,21696.285714285714,302.42857142857144
2021-03-22,27371.571428571428,368.2857142857143
2021-03-23,27371.571428571428,368.2857142857143
2021-03-24,27371.571428571428,368.2857142857143
2021-03-25,27371.571428571428,368.2857142857143
2021-03-26,27371.571428571428,368.2857142857143
2021-03-27,27371.571428571428,368.2857142857143
2021-03-28,27371.571428571428,368.2857142857143
2021-03-29,26789.428571428572,436.42857142857144
2021-03-30,26789.428571428572,436.42857142857144
2021-03-31,26789.428571428572,436.42857142857144
2021-04-01,26789.428571428572,436.42857142857144
2021-04-02,26789.428571428572,436.42857142857144
2021-04-03,26789.428571428572,436.42857142857144
2021-04-04,26789.428571428572,436.42857142857144
2021-04-05,19427.14285714286,496.85714285714283
2021-04-06,19427.14285714286,496.85714285714283
2021-04-07,19427.14285714286,496.85714285714283
2021-04-08,19427.14285714286,496.85714285714283
2021-04-09,19427.14285714286,496.85714285714283
2021-04-10,19427.14285714286,496.85714285714283
2021-04-11,19427.14285714286,496.85714285714283
2021-04-12,16202.285714285714,515.4285714285714
2021-04-13,16202.285714285714,515.4285714285714
2021-04-14,16202.285714285714,515.4285714285714
2021-04-15,16202.285714285714,515.4285714285714
2021-04-16,16202.285714285714,515.4285714285714
2021-04-17,16202.285714285714,515.4285714285714
2021-04-18,16202.285714285714,515.4285714285714
2021-04-19,10114.142857142857,483.0
2021-04-20,10114.142857142857,483.0
2021-04-21,10114.142857142857,483.0
2021-04-22,10114.142857142857,483.0
2021-04-23,10114.142857142857,483.0
2021-04-24,10114.142857142857,483.0
2021-04-25,10114.142857142857,483.0
2021-04-26,6337.0,379.2857142857143
2021-04-27,6337.0,379.2857142857143
2021-04-28,6337.0,379.2857142857143
2021-04-29,6337.0,379.2857142857143
2021-04-30,6337.0,379.2857142857143
2021-05-01,6337.0,379.2857142857143
2021-05-02,6337.0,379.2857142857143
2021-05-03,4258.857142857143,277.85714285714283
2021-05-04,4258.857142857143,277.85714285714283
2021-05-05,4258.857142857143,277.85714285714283
2021-05-06,4258.857142857143,277.85714285714283
2021-05-07,4258.857142857143,277.85714285714283
2021-05-08,4258.857142857143,277.85714285714283
2021-05-09,4258.857142857143,277.85714285714283
2021-05-10,3066.5714285714284,238.28571428571428
2021-05-11,3066.5714285714284,238.28571428571428
2021-05-12,3066.5714285714284,238.28571428571428
2021-05-13,3066.5714285714284,238.28571428571428
2021-05-14,3066.5714285714284,238.28571428571428
2021-05-15,3066.5714285714284,238.28571428571428
2021-05-16,3066.5714285714284,238.28571428571428
2021-05-17,1649.0,180.42857142857142
2021-05-18,1649.0,180.42857142857142
2021-05-19,1649.0,180.42857142857142
2021-05-20,1649.0,180.42857142857142
2021-05-21,1649.0,180.42857142857142
2021-05-22,1649.0,180.42857142857142
2021-05-23,1649.0,180.42857142857142
2021-05-24,908.0,115.71428571428571
2021-05-25,908.0,115.71428571428571
2021-05-26,908.0,115.71428571428571
2021-05-27,908.0,115.71428571428571
2021-05-28,908.0,115.71428571428571
2021-05-29,908.0,115.71428571428571
2021-05-30,908.0,115.71428571428571
2021-05-31,457.57142857142856,59.142857142857146
2021-06-01,457.57142857142856,59.142857142857146
2021-06-02,457.57142857142856,59.142857142857146
2021-06-03,457.57142857142856,59.142857142857146
2021-06-04,457.57142857142856,59.142857142857146
2021-06-05,457.57142857142856,59.142857142857146
2021-06-06,457.57142857142856,59.142857142857146
2021-06-07,315.85714285714283,60.142857142857146
