date,new_cases_rolling_average,new_deaths_rolling_average
2020-03-19,5192.285714285715,347.42857142857144
2020-03-20,5192.285714285715,347.42857142857144
2020-03-21,5192.285714285715,347.42857142857144
2020-03-22,5192.285714285715,347.42857142857144
2020-03-23,8477.714285714286,809.0
2020-03-24,8477.714285714286,809.0
2020-03-25,8477.714285714286,809.0
2020-03-26,8477.714285714286,809.0
2020-03-27,8477.714285714286,809.0
2020-03-28,8477.714285714286,809.0
2020-03-29,8477.714285714286,809.0
2020-03-30,6343.285714285715,834.4285714285714
2020-03-31,6343.285714285715,834.4285714285714
2020-04-01,6343.285714285715,834.4285714285714
2020-04-02,6343.285714285715,834.4285714285714
2020-04-03,6343.285714285715,834.4285714285714
2020-04-04,6343.285714285715,834.4285714285714
2020-04-05,6343.285714285715,834.4285714285714
2020-04-06,4369.285714285715,680.8571428571429
2020-04-07,4369.285714285715,680.8571428571429
2020-04-08,4369.285714285715,680.8571428571429
2020-04-09,4369.285714285715,680.8571428571429
2020-04-10,4369.285714285715,680.8571428571429
2020-04-11,4369.285714285715,680.8571428571429
2020-04-12,4369.285714285715,680.8571428571429
2020-04-13,3035.714285714286,510.85714285714283
2020-04-14,3035.714285714286,510.85714285714283
2020-04-15,3035.714285714286,510.85714285714283
2020-04-16,3035.714285714286,510.85714285714283
2020-04-17,3035.714285714286,510.85714285714283
2020-04-18,3035.714285714286,510.85714285714283
2020-04-19,3035.714285714286,510.85714285714283
2020-04-20,2082.0,340.85714285714283
2020-04-21,2082.0,340.85714285714283
2020-04-22,2082.0,340.85714285714283
2020-04-23,2082.0,340.85714285714283
2020-04-24,2082.0,340.85714285714283
2020-04-25,2082.0,340.85714285714283
2020-04-26,2082.0,340.85714285714283
2020-04-27,1157.0,221.57142857142858
2020-04-28,1157.0,221.57142857142858
2020-04-29,1157.0,221.57142857142858
2020-04-30,1157.0,221.57142857142858
2020-05-01,1157.0,221.57142857142858
2020-05-02,1157.0,221.57142857142858
2020-05-03,1157.0,221.57142857142858
2020-05-04,803.4285714285714,152.71428571428572
